TIME;0;1087;2138;3201;4244;5296;6345;7398;8446;11463;12537;14041;15092;16171;17588;18641;19691;20760;21833;22886;23939;25001;26060;32977;36122;37193;38253;39311;41434;42484;43533;44577;45624;47857;48907;49957;52238;53291;54345;55398;56451;58253;59299;60349;61398;62445;63491;64544;65629;66698;67755;68805;69917;70968;72073;73137;77393;79254;83181;87043;90950;97246;98296;99357;100422;101482;102536;104804;105851;106453;106898
MEMORY;START;29;40;201;53;93;587;73;81;8503;292;3988;3983;7918;4006;4506;4500;150;462;210;171;176;203;45437;45437;202;307;313;14296;14291;14291;14291;14291;28529;28573;28573;14333;16103;16103;16103;16115;14323;16093;16093;16093;16093;16105;135;396;749;357;357;382;314;423;407;33087;49471;65855;82239;98623;123749;123743;123795;346;332;290;25081;25081;26;END
TIME;0;1138;2186;3257;4307;5362;6410;7455;8532;9588;11970;13041;15122;16173;17295;18348;19799;20849;21925;22980;24037;25090;26149;33089;36121;37176;38247;39316;41234;42282;43330;44377;45423;47684;48732;49782;51140;52193;53245;54297;56784;57831;58879;59928;60986;62073;63162;64224;65284;66377;67448;68512;69562;70650;73391;75288;77640;81795;85949;90121;96723;97770;98829;99912;100977;102030;104051;105097;105709;106144
MEMORY;START;21;39;231;60;158;587;686;136;104;8508;309;3988;3983;7923;4506;4001;4507;215;210;165;163;215;45437;45437;223;347;318;14296;14291;14291;14291;14291;28533;28573;115;14333;16103;16103;16103;14323;16093;16093;16093;137;233;623;343;350;501;389;386;319;472;16703;49471;65855;82239;98623;115007;123748;123743;123795;317;359;339;16441;25081;26;END
TIME;0;1086;2143;3207;4253;5316;6451;7499;8549;9610;12163;13223;14746;15797;16842;18219;19276;20325;21405;22455;23534;24593;25699;29278;33411;36556;37606;38676;39738;41904;42950;43996;45043;46086;48249;49296;50342;52205;53259;54311;55361;56414;58020;59071;60116;61165;62215;63372;64455;65523;66607;67674;68737;69792;70871;74033;76229;78557;82168;85768;89390;95152;96203;97260;98321;99374;100429;103017;104066;104666;105119
MEMORY;START;29;69;229;63;90;591;686;87;108;8503;303;3986;3983;7918;4006;4513;4500;197;215;269;160;225;32925;45437;45437;44;328;343;14294;14291;14291;14291;14291;28529;28573;28573;14333;16103;16103;16103;16115;14323;16093;16093;16093;122;300;749;382;467;373;374;338;446;33087;49471;65855;82239;82239;115007;123748;123743;123794;325;357;330;16441;25081;26;END
TIME;0;1088;2135;3196;4235;5283;6355;7404;8474;9533;11869;12948;14942;15990;17036;18087;19316;20365;21434;22488;23541;24598;25667;32717;35829;36886;37945;39003;41042;42091;43138;44190;45239;46784;47828;50225;51279;52332;53386;54437;56301;57348;58396;59446;60497;61546;62600;63675;64735;65792;66860;67935;68999;70080;71135;74634;77025;81087;85142;89185;95613;96664;97720;98783;99843;100897;103233;104278;104435;105327
MEMORY;START;28;39;225;58;142;779;688;152;96;8503;288;3983;3983;7938;4506;4001;4507;215;227;150;167;224;45437;45437;49;312;333;14294;14291;14291;14291;14291;28529;28573;14333;16103;16103;16103;16115;14323;16093;16093;16093;16093;16105;129;521;399;348;372;426;355;446;325;49471;65855;82239;82239;115007;123743;123743;123795;325;336;286;25081;25081;26;END
TIME;0;1084;2133;3211;4254;5301;6353;7402;8454;9515;11883;12953;14924;15976;17024;18079;19128;20176;21248;22302;23370;24438;25515;31775;34595;35649;36720;37780;39813;40862;41916;42966;44014;45573;46618;48413;49467;50518;51573;52626;53681;55277;56322;57370;58418;59467;60569;61638;62699;63769;64859;65915;66968;68063;69122;72262;74943;79016;83075;87139;93598;94648;95709;96770;97827;98901;101175;102225;102360;103275
MEMORY;START;22;40;202;57;93;587;688;112;100;8508;292;3988;3983;7938;4506;4001;4507;239;214;167;192;213;45437;45443;223;308;351;14296;14291;14291;14291;14291;28533;28573;14333;16103;16103;16103;16103;16115;14323;16093;16093;16093;16105;235;466;331;382;375;366;327;424;435;33087;49471;65855;82239;98623;123749;123743;123795;330;307;310;25081;25081;26;END
TIME;0;1082;2137;3193;4240;5291;6340;7390;8441;9491;11690;12758;14220;15270;16326;17386;18436;19485;20552;21624;22686;23737;24827;28145;31786;34544;35599;36668;37732;40011;41059;42108;43157;44202;46534;47583;48631;50471;51523;52576;53630;54683;56419;57467;58516;59562;60614;61696;62766;63827;64920;65987;67041;68091;69186;70251;74441;76584;80211;83823;87443;93207;94262;95317;96394;97477;98527;100967;102014;102609;103065
MEMORY;START;21;39;204;58;91;587;686;91;104;8503;323;3983;3983;7938;4006;4513;4500;168;443;241;154;215;32925;45437;45437;47;300;272;14297;14291;14291;14291;14291;28534;28573;28573;14333;16103;16103;16103;16115;14323;16093;16093;16093;16105;272;545;371;363;393;346;334;439;414;33087;65855;82239;82239;98623;123743;123743;123795;309;303;350;25081;25081;26;END
TIME;0;1134;2196;3253;4298;5344;6393;7436;8493;9551;11530;12588;14006;15056;16107;17500;18552;19600;20661;21716;22777;23827;24887;32072;35190;36243;37308;38366;40698;41747;42795;43843;44891;47165;48217;49264;51499;52552;53605;54659;55714;56769;58502;59548;60597;61645;62703;63792;64898;65956;67057;68114;69170;70223;71302;74399;76316;79343;83416;87501;91553;96884;97936;99004;100057;101115;102175;104465;105508;106112;106558
MEMORY;START;21;69;238;57;98;587;62;95;96;8503;279;3986;3983;7921;4006;4506;4500;146;233;274;153;192;45437;45437;49;319;288;14296;14291;14291;14291;14291;28534;28573;28573;14333;16103;16103;16103;16115;16115;14323;16093;16093;16093;137;254;588;388;362;366;346;315;445;33087;49471;65855;82239;98623;115007;123748;123743;123792;316;341;304;16441;25081;26;END
TIME;0;1082;2144;3226;4280;5346;6465;7514;8566;9617;12186;13273;14615;15665;16714;18015;19062;20110;21195;22245;23323;24369;25440;32415;35467;36520;37587;38642;40509;41555;42602;43650;44698;46912;47964;49014;50230;51281;52333;53387;54440;56180;57228;58276;59322;60385;61503;62603;63672;64722;65777;66887;67941;69028;70086;74008;75971;79594;83210;86818;92594;93644;94702;95759;96816;97875;99792;100840;101456;101891
MEMORY;START;22;69;238;72;181;591;686;89;103;8508;297;3988;3983;7918;4006;4513;4500;198;207;198;148;257;45437;45437;225;325;307;14291;14291;14291;14291;14291;28533;28573;104;14333;16103;16103;16103;16114;14322;16093;16093;16093;145;274;603;378;331;333;401;359;426;401;49471;49471;65855;82239;98623;123743;123743;123795;320;308;304;25081;25081;26;END
TIME;0;1080;2122;3180;4242;5292;6364;7411;8463;9533;12229;13286;14801;15852;16943;18484;19537;20589;21640;22712;23782;24834;25896;32889;35782;36836;37909;38967;41182;42231;43280;44328;45377;47105;48155;50880;51935;52990;54045;55095;57266;58313;59363;60413;61463;62578;63657;64736;65797;66846;67897;68969;70045;71120;74048;75460;77845;81903;85941;89988;96432;97480;98535;99598;100653;101704;103912;104967;105304;106019
MEMORY;START;22;40;234;58;65;289;690;95;121;8508;273;3988;3983;7923;4006;4506;4500;4507;333;291;166;206;45437;45437;223;319;320;14294;14291;14291;14291;14291;28531;28573;14333;16103;16103;16103;16115;14323;16093;16093;16093;16105;260;396;584;336;320;317;385;418;452;33087;49471;65855;82239;98623;115007;123748;123743;123794;353;326;315;25081;25081;26;END
TIME;0;1099;2144;3203;4244;5290;6340;7392;8442;9497;11809;12877;14373;15425;16504;18015;19067;20114;21163;22218;23270;24320;25402;31910;34707;35772;36841;37901;40022;41068;42118;43167;44216;45831;46876;48588;49641;50690;51745;52798;54545;55595;56643;57692;58750;59832;60883;61939;63004;64057;65115;66174;67246;68326;71204;72272;74074;78146;82213;86207;92710;93760;94818;95882;96940;97998;100271;101324;101468;102376
MEMORY;START;28;42;225;53;107;587;688;115;93;8508;344;3983;3983;7918;4006;4513;4500;89;208;267;166;257;32925;45437;219;308;355;14291;14291;14291;14291;14291;28534;28573;14333;16103;16103;16103;16115;14323;16093;16093;16093;137;216;433;339;396;357;342;385;399;477;33087;49471;65855;65855;98623;115007;123743;123743;123795;346;315;338;16441;25081;26;END
